celular;data_nascimento;idade;sexo;cidade_residencial;bairro_residencial;cidade_trabalho;bairro_trabalho;cidade_escola;bairro_escola;categoria_frequentada
(11) 94185-7291;10/11/1978;46;Feminino;São Paulo;Higienópolis;;;São Paulo;Santana;Lojas de Móveis e Decoração
(11) 99486-8611;20/01/1948;77;Masculino;São Paulo;Sé;São Paulo;Penha;;;Clubes e Centros de Convivência
(11) 99270-7991;24/08/1948;76;Outro;São Paulo;Santana;;;;;Igrejas e Lojas de Artigos Religiosos
(11) 95543-9540;04/11/1968;56;Feminino;São Paulo;Limão;São Paulo;Tucuruvi;São Paulo;Higienópolis;Farmácias e Drogarias
(11) 94788-7275;08/05/1990;35;Outro;São Paulo;Tucuruvi;São Paulo;Higienópolis;;;Supermercados e Mercados Express
(11) 97883-7381;19/01/1968;57;Outro;Freitas;Bela Vista;;;;;Lojas de Móveis e Decoração
(11) 96763-5892;14/11/1942;82;Feminino;São Paulo;Santo Amaro;São Paulo;Tucuruvi;;;Igrejas e Lojas de Artigos Religiosos
(11) 91475-7371;08/03/2007;18;Feminino;São Paulo;Vila Prudente;;;;;Lojas de Roupas e Sneakers
(71) 91441-7455;04/02/1975;50;Outro;São Paulo;Bela Vista;São Paulo;Sé;São Paulo;República;Bancos, Agências e Correspondentes
(11) 96529-7211;05/04/1972;53;Feminino;São Paulo;Santo Amaro;São Paulo;Bela Vista;;;Supermercados e Mercados Express
(41) 94673-2124;31/05/1939;86;Outro;São Paulo;Bela Vista;;;São Paulo;Consolação;Bancos e Casas Lotéricas
(11) 92874-4571;05/01/1940;85;Feminino;São Paulo;Penha;São Paulo;Santana;;;Clínicas Médicas e Laboratórios
(21) 91420-6111;25/01/2008;17;Outro;São Paulo;Vila Prudente;São Paulo;Santana;;;Lojas de Eletrônicos e Games
(11) 95941-2983;18/12/1949;75;Outro;São Paulo;Penha;São Paulo;Santana;;;Calçados Confortáveis e Ortopédicos
(11) 97882-9031;30/07/1980;45;Masculino;São Paulo;Penha;;;;;Restaurantes e Gastronomia
(11) 99548-5425;15/04/2004;21;Outro;São Paulo;Pinheiros;;;;;Espaços Culturais e de Experiência Interativa
(11) 95022-2419;07/12/1952;72;Feminino;São Paulo;Casa Verde;;;;;Restaurantes com comida caseira
(11) 99098-6325;03/07/1953;72;Masculino;São Paulo;Penha;;;;;Fisioterapia e Terapias Complementares
(11) 95526-1166;25/12/1979;45;Outro;Fernandes de Duarte;República;São Paulo;Higienópolis;;;Lojas de Roupas e Calçados
(11) 99041-8342;12/05/1986;39;Masculino;São Paulo;Casa Verde;São Paulo;Higienópolis;;;Postos de Combustível e Serviços Automotivos
(11) 97971-6419;07/11/1986;38;Feminino;São Paulo;Limão;São Paulo;Consolação;;;Postos de Combustível e Serviços Automotivos
(31) 94138-4545;23/11/1935;89;Outro;São Paulo;Lapa;;;;;Igrejas e Lojas de Artigos Religiosos
(31) 95853-4727;23/12/1964;60;Feminino;São Paulo;Bela Vista;;;São Paulo;Bela Vista;Produtos Naturais e Fitoterápicos
(11) 93068-9042;07/01/1996;29;Masculino;São Paulo;Lapa;São Paulo;República;São Paulo;Sé;Cafeterias e Bistrôs Modernos
(11) 97565-9056;11/10/1995;29;Masculino;São Paulo;Consolação;São Paulo;Penha;São Paulo;Higienópolis;Barbearias/Salões com estética jovem
(11) 94697-9561;20/06/1967;58;Feminino;São Paulo;Jabaquara;São Paulo;Sé;;;Papelarias, Livrarias e Lojas de Escritório
(11) 92625-4404;23/06/2001;24;Outro;São Paulo;República;São Paulo;Bela Vista;São Paulo;Higienópolis;Coworkings e Centros de Estudo/Conexão
(11) 94792-5720;26/02/1987;38;Outro;São Paulo;Jabaquara;São Paulo;República;;;Papelarias, Livrarias e Lojas de Escritório
(11) 94241-7965;08/11/1992;32;Masculino;São Paulo;Perdizes;São Paulo;Consolação;São Paulo;República;Papelarias, Livrarias e Lojas de Escritório
(11) 95728-8195;05/12/1978;46;Masculino;São Paulo;Tatuapé;;;;;Postos de Combustível e Serviços Automotivos
(11) 98172-2317;03/05/1989;36;Outro;São Paulo;Santo Amaro;;;;;Supermercados e Mercados Express
(11) 91339-5415;09/06/1998;27;Outro;São Paulo;Santana;São Paulo;Casa Verde;São Paulo;Sé;Cafeterias e Bistrôs Modernos
(11) 97690-6460;20/09/2007;17;Feminino;São Paulo;Santana;São Paulo;Casa Verde;;;Barbearias/Salões com estética jovem
(11) 91601-8451;09/07/1942;83;Masculino;São Paulo;Itaquera;São Paulo;Santana;;;Produtos Naturais e Fitoterápicos
(11) 91888-4073;19/01/1983;42;Outro;São Paulo;Campo Limpo;;;;;Bancos, Agências e Correspondentes
(11) 93146-5719;11/11/1973;51;Feminino;São Paulo;Campo Limpo;São Paulo;Lapa;;;Lojas de Eletrodomésticos e Utilidades Domésticas
(11) 97684-2527;03/07/1962;63;Masculino;Gomes;Sé;São Paulo;Consolação;;;Igrejas e Lojas de Artigos Religiosos
(11) 95479-7807;13/01/1976;49;Feminino;Caldeira da Praia;Casa Verde;São Paulo;Consolação;;;Postos de Combustível e Serviços Automotivos
(11) 93236-2143;28/05/1978;47;Feminino;São Paulo;Santo Amaro;São Paulo;Casa Verde;;;Lojas de Eletrodomésticos e Utilidades Domésticas
(11) 99022-3434;20/02/1993;32;Feminino;São Paulo;Penha;São Paulo;Limão;;;Clínicas de Saúde e Bem-estar
(11) 94912-7274;15/09/1959;65;Masculino;São Paulo;Santo Amaro;São Paulo;Limão;;;Clínicas Médicas e Laboratórios
(11) 91606-3068;27/01/1945;80;Outro;da Paz;Itaquera;;;;;Clubes e Centros de Convivência
(11) 98486-1251;02/11/2000;24;Outro;São Paulo;Perdizes;;;São Paulo;Casa Verde;Academias e Studios Fitness
(11) 97512-2315;13/12/1978;46;Feminino;São Paulo;Pinheiros;São Paulo;Sé;;;Supermercados e Mercados Express
(11) 94846-5708;19/02/2008;17;Masculino;São Paulo;Santo Amaro;;;;;Cafeterias e Bistrôs Modernos
(11) 95906-1474;23/04/2001;24;Masculino;São Paulo;Consolação;São Paulo;Consolação;São Paulo;Consolação;Lojas de Roupas e Sneakers
(11) 97267-4945;17/04/1991;34;Feminino;da Cruz de Goiás;Higienópolis;São Paulo;Limão;São Paulo;Sé;Lojas de Eletrodomésticos e Utilidades Domésticas
(11) 93588-2210;26/07/1934;91;Feminino;Cunha;Lapa;São Paulo;Butantã;;;Igrejas e Lojas de Artigos Religiosos
(11) 97302-8916;09/06/1952;73;Masculino;São Paulo;Lapa;São Paulo;República;São Paulo;Vila Prudente;Igrejas e Lojas de Artigos Religiosos
(11) 91803-9138;26/08/1991;33;Feminino;São Paulo;Casa Verde;;;;;Bancos, Agências e Correspondentes
(11) 93240-2591;01/08/2006;18;Outro;São Paulo;Tatuapé;;;São Paulo;Consolação;Cafeterias e Bistrôs Modernos
(41) 97807-3877;10/08/1948;77;Masculino;São Paulo;Pinheiros;;;;;Produtos Naturais e Fitoterápicos
(31) 95210-8894;06/10/1975;49;Feminino;São Paulo;Itaquera;;;;;Farmácias e Drogarias
(11) 94696-7511;21/07/1938;87;Outro;São Paulo;Vila Prudente;São Paulo;Sé;;;Igrejas e Lojas de Artigos Religiosos
(11) 97086-2775;11/12/1967;57;Outro;São Paulo;Bela Vista;;;;;Clínicas de Saúde e Bem-estar
(31) 92035-8606;13/05/1935;90;Outro;São Paulo;Santo Amaro;São Paulo;Bela Vista;;;Clubes e Centros de Convivência
(11) 94846-9807;23/09/1984;40;Masculino;São Paulo;Penha;;;;;Postos de Combustível e Serviços Automotivos
(11) 93531-7797;14/08/1984;40;Outro;São Paulo;Campo Limpo;;;;;Lojas de Eletrodomésticos e Utilidades Domésticas
(11) 97070-4559;12/02/1989;36;Feminino;São Paulo;Casa Verde;;;São Paulo;Casa Verde;Supermercados e Mercados Express
(11) 94109-3001;20/02/1947;78;Feminino;São Paulo;Tucuruvi;;;;;Farmácias e Drogarias
(11) 96464-4990;15/06/1999;26;Masculino;São Paulo;Tucuruvi;São Paulo;Tucuruvi;;;Lojas de Eletrônicos e Games
(11) 93417-1046;25/05/1964;61;Feminino;São Paulo;Higienópolis;;;;;Clínicas Médicas e Laboratórios
(11) 91422-3159;13/02/2005;20;Masculino;São Paulo;Casa Verde;São Paulo;República;São Paulo;Santana;Cafeterias e Bistrôs Modernos
(11) 96931-9408;31/07/1979;46;Outro;São Paulo;Ipiranga;São Paulo;Casa Verde;;;Supermercados e Mercados Express
(11) 98847-7580;15/01/1977;48;Feminino;São Paulo;Campo Limpo;;;;;Farmácias e Drogarias
(11) 93430-2076;06/01/1953;72;Masculino;São Paulo;Perdizes;São Paulo;Limão;;;Produtos Naturais e Fitoterápicos
(11) 99282-8048;12/08/1939;86;Masculino;São Paulo;Sé;;;;;Produtos Naturais e Fitoterápicos
(11) 94522-8046;25/03/1961;64;Feminino;São Paulo;Santo Amaro;São Paulo;Sé;;;Calçados Confortáveis e Ortopédicos
(11) 95176-7132;07/03/1973;52;Masculino;São Paulo;Campo Limpo;São Paulo;Tatuapé;;;Clínicas de Saúde e Bem-estar
(11) 91982-6400;29/04/1964;61;Outro;São Paulo;Penha;;;;;Restaurantes com comida caseira
(11) 91842-5712;21/11/1970;54;Outro;São Paulo;Sé;São Paulo;Sé;São Paulo;Higienópolis;Clínicas de Saúde e Bem-estar
(11) 95564-4705;20/03/1976;49;Feminino;São Paulo;Butantã;;;;;Supermercados e Mercados Express
(11) 95381-1474;17/01/1983;42;Masculino;São Paulo;Tatuapé;;;;;Restaurantes e Gastronomia
(11) 97566-2140;27/09/1942;82;Masculino;São Paulo;Bela Vista;São Paulo;Sé;;;Calçados Confortáveis e Ortopédicos
(11) 96105-6314;01/02/1942;83;Outro;São Paulo;Consolação;São Paulo;Santana;;;Igrejas e Lojas de Artigos Religiosos
(11) 97947-8957;16/07/1986;39;Outro;São Paulo;Limão;São Paulo;República;;;Lojas de Eletrodomésticos e Utilidades Domésticas
(11) 98972-9633;25/07/2006;19;Outro;São Paulo;Casa Verde;São Paulo;Bela Vista;São Paulo;Jabaquara;Cinema e Streaming Experience Stores
(11) 92965-1126;21/09/2004;20;Feminino;São Paulo;Santana;São Paulo;Consolação;;;Academias e Studios Fitness
(11) 91693-8147;05/10/2002;22;Masculino;São Paulo;República;;;;;Espaços Culturais e de Experiência Interativa
(11) 97843-5743;16/03/2008;17;Masculino;São Paulo;Itaquera;São Paulo;Ipiranga;;;Academias e Studios Fitness
(11) 92734-4986;05/11/1942;82;Feminino;São Paulo;Ipiranga;São Paulo;Penha;São Paulo;Santana;Produtos Naturais e Fitoterápicos
(11) 99693-9355;27/04/1947;78;Masculino;Carvalho do Campo;Penha;São Paulo;Lapa;São Paulo;Consolação;Clínicas Médicas e Laboratórios
(11) 92234-3902;27/02/1996;29;Outro;São Paulo;Lapa;;;;;Espaços Culturais e de Experiência Interativa
(11) 96295-6179;20/07/1946;79;Masculino;São Paulo;Campo Limpo;São Paulo;República;;;Calçados Confortáveis e Ortopédicos
(11) 96085-8565;28/11/1979;45;Feminino;São Paulo;Penha;;;São Paulo;Tatuapé;Papelarias, Livrarias e Lojas de Escritório
(11) 97299-8581;26/03/2005;20;Outro;São Paulo;Consolação;São Paulo;Itaquera;;;Coworkings e Centros de Estudo/Conexão
(11) 92013-8381;30/11/1986;38;Masculino;São Paulo;Itaquera;;;São Paulo;Santana;Bancos, Agências e Correspondentes
(11) 98199-9586;08/03/1981;44;Outro;São Paulo;Penha;São Paulo;Sé;;;Papelarias, Livrarias e Lojas de Escritório
(11) 96482-2079;17/10/1962;62;Feminino;São Paulo;Vila Prudente;São Paulo;Tucuruvi;;;Fisioterapia e Terapias Complementares
(11) 96731-6082;06/10/1997;27;Outro;São Paulo;Vila Prudente;São Paulo;Santana;;;Barbearias/Salões com estética jovem
(11) 96381-3093;20/08/1949;75;Outro;São Paulo;Ipiranga;São Paulo;Casa Verde;São Paulo;Consolação;Calçados Confortáveis e Ortopédicos
(61) 94145-4711;26/11/1989;35;Masculino;São Paulo;Tatuapé;;;São Paulo;Santana;Clínicas de Saúde e Bem-estar
(11) 93147-7172;31/08/1941;83;Masculino;São Paulo;Butantã;;;São Paulo;Sé;Calçados Confortáveis e Ortopédicos
(11) 94891-8277;13/03/2000;25;Outro;São Paulo;Jabaquara;São Paulo;Sé;;;Lojas de Eletrônicos e Games
(11) 98218-8564;16/03/1957;68;Feminino;São Paulo;Ipiranga;São Paulo;Lapa;;;Clínicas Médicas e Laboratórios
(11) 91854-8873;08/02/2007;18;Feminino;São Paulo;Sé;;;;;Cafeterias e Bistrôs Modernos
(11) 93626-5469;28/08/1969;55;Feminino;Monteiro;Higienópolis;;;São Paulo;Ipiranga;Clínicas de Saúde e Bem-estar
(61) 91872-7495;31/10/1958;66;Outro;São Paulo;Vila Prudente;;;;;Farmácias e Drogarias
(11) 92623-6493;18/03/1967;58;Masculino;São Paulo;Tatuapé;;;;;Restaurantes e Gastronomia
(11) 98685-8349;04/06/1938;87;Outro;São Paulo;República;São Paulo;Consolação;;;Fisioterapia e Terapias Complementares
(11) 92821-5720;12/10/1971;53;Masculino;São Paulo;Consolação;São Paulo;Limão;São Paulo;Vila Prudente;Papelarias, Livrarias e Lojas de Escritório
(11) 99443-4963;10/07/1947;78;Outro;São Paulo;Santo Amaro;São Paulo;Higienópolis;;;Supermercados de Bairro e Mercadinhos
(11) 96908-2108;22/08/1948;76;Outro;São Paulo;Ipiranga;São Paulo;Sé;São Paulo;República;Igrejas e Lojas de Artigos Religiosos
(11) 96850-2106;15/05/1957;68;Feminino;São Paulo;Perdizes;São Paulo;República;São Paulo;República;Clínicas Médicas e Laboratórios
(11) 98612-8840;16/12/1979;45;Outro;São Paulo;Higienópolis;São Paulo;Limão;São Paulo;Consolação;Supermercados e Mercados Express
(11) 96080-9444;27/04/2007;18;Feminino;Cardoso do Galho;Pinheiros;São Paulo;Consolação;São Paulo;Tatuapé;Academias e Studios Fitness
(11) 97029-8159;20/08/1957;67;Feminino;São Paulo;Vila Prudente;São Paulo;Sé;;;Produtos Naturais e Fitoterápicos
(11) 92353-7955;21/02/1971;54;Masculino;São Paulo;Santana;São Paulo;Bela Vista;;;Lojas de Eletrodomésticos e Utilidades Domésticas
(11) 97981-3730;09/12/1970;54;Outro;São Paulo;Jabaquara;São Paulo;Penha;;;Lojas de Móveis e Decoração
(11) 91939-2229;06/11/1980;44;Outro;São Paulo;Penha;São Paulo;Tucuruvi;;;Restaurantes e Gastronomia
(11) 98179-1570;04/02/1967;58;Masculino;São Paulo;Perdizes;São Paulo;Higienópolis;São Paulo;Sé;Clínicas de Saúde e Bem-estar
(11) 92259-3255;29/03/1952;73;Outro;São Paulo;Itaquera;;;São Paulo;Consolação;Clubes e Centros de Convivência
(11) 92929-5288;02/01/2001;24;Feminino;São Paulo;Tucuruvi;;;São Paulo;Ipiranga;Lojas de Eletrônicos e Games
(11) 92213-8406;20/03/2007;18;Masculino;São Paulo;Jabaquara;;;;;Academias e Studios Fitness
(11) 92063-9882;29/01/1959;66;Feminino;São Paulo;Santana;;;;;Clínicas Médicas e Laboratórios
(11) 99335-4673;29/04/1979;46;Masculino;Teixeira;Higienópolis;São Paulo;República;;;Clínicas de Saúde e Bem-estar
(11) 93126-2412;27/06/1947;78;Masculino;São Paulo;Campo Limpo;São Paulo;Santana;São Paulo;Bela Vista;Clubes e Centros de Convivência
(11) 99476-6644;04/04/1970;55;Masculino;São Paulo;Pinheiros;;;São Paulo;Perdizes;Postos de Combustível e Serviços Automotivos
(21) 93034-9488;08/03/1972;53;Masculino;São Paulo;Santana;São Paulo;Casa Verde;;;Postos de Combustível e Serviços Automotivos
(11) 92292-5105;05/09/2005;19;Masculino;São Paulo;Pinheiros;São Paulo;Santana;;;Lojas de Roupas e Sneakers
(11) 93526-3804;26/11/1967;57;Outro;São Paulo;Butantã;São Paulo;Santo Amaro;;;Supermercados e Mercados Express
(11) 95336-4453;24/09/1973;51;Outro;São Paulo;Perdizes;São Paulo;Penha;;;Lojas de Eletrodomésticos e Utilidades Domésticas
(11) 97653-5873;26/02/1953;72;Feminino;São Paulo;Consolação;São Paulo;Sé;São Paulo;Casa Verde;Calçados Confortáveis e Ortopédicos
(11) 96658-7532;26/06/1963;62;Masculino;São Paulo;Ipiranga;São Paulo;Sé;São Paulo;Consolação;Supermercados de Bairro e Mercadinhos
(11) 97293-7850;25/06/1966;59;Masculino;Cardoso;Santana;;;;;Clínicas de Saúde e Bem-estar
(11) 93610-9163;03/07/1967;58;Outro;São Paulo;Tatuapé;São Paulo;Sé;;;Bancos, Agências e Correspondentes
(11) 96781-1797;23/11/1971;53;Masculino;São Paulo;Butantã;;;;;Lojas de Roupas e Calçados
(11) 91133-2761;17/09/1993;31;Feminino;São Paulo;Limão;;;;;Clínicas de Saúde e Bem-estar
(11) 91838-4189;14/11/1960;64;Feminino;São Paulo;República;São Paulo;Higienópolis;São Paulo;Pinheiros;Clínicas Médicas e Laboratórios
(61) 97114-6555;05/02/1967;58;Outro;Farias;Higienópolis;São Paulo;Higienópolis;São Paulo;República;Lojas de Roupas e Calçados
(11) 93440-9446;26/05/1986;39;Masculino;São Paulo;Butantã;São Paulo;Higienópolis;;;Lojas de Eletrodomésticos e Utilidades Domésticas
(11) 99311-9351;25/03/1983;42;Outro;São Paulo;Lapa;São Paulo;Penha;;;Farmácias e Drogarias
(71) 96040-1436;06/07/1935;90;Outro;São Paulo;Perdizes;;;;;Fisioterapia e Terapias Complementares
(11) 91841-8871;08/03/1983;42;Masculino;São Paulo;Butantã;;;;;Bancos, Agências e Correspondentes
(11) 92800-4125;31/05/1973;52;Masculino;São Paulo;Santo Amaro;São Paulo;Limão;;;Papelarias, Livrarias e Lojas de Escritório
(21) 93262-9498;05/06/1993;32;Masculino;São Paulo;Campo Limpo;São Paulo;Consolação;;;Postos de Combustível e Serviços Automotivos
(11) 96804-5331;16/09/1957;67;Outro;São Paulo;Casa Verde;São Paulo;República;;;Bancos e Casas Lotéricas
(11) 99011-6194;28/05/1953;72;Feminino;São Paulo;Limão;São Paulo;Higienópolis;;;Restaurantes com comida caseira
(11) 93399-5758;06/11/1973;51;Masculino;São Paulo;República;São Paulo;República;;;Bancos, Agências e Correspondentes
(11) 99824-5442;06/08/1946;79;Outro;São Paulo;Higienópolis;São Paulo;Tucuruvi;São Paulo;Tucuruvi;Bancos e Casas Lotéricas
(11) 97771-6411;27/05/1971;54;Outro;São Paulo;Higienópolis;São Paulo;Consolação;;;Lojas de Roupas e Calçados
(11) 94267-5706;03/05/2003;22;Feminino;São Paulo;Consolação;;;São Paulo;Higienópolis;Lanchonetes e Fast-Food
(31) 97846-3880;27/09/2007;17;Masculino;Almeida;Vila Prudente;;;São Paulo;Casa Verde;Lanchonetes e Fast-Food
(11) 92758-6489;03/05/1981;44;Feminino;São Paulo;Perdizes;São Paulo;Consolação;;;Lojas de Roupas e Calçados
(11) 92845-6417;08/05/1992;33;Masculino;São Paulo;Perdizes;São Paulo;República;;;Papelarias, Livrarias e Lojas de Escritório
(11) 94164-3875;27/08/2004;20;Outro;São Paulo;Vila Prudente;;;;;Cafeterias e Bistrôs Modernos
(11) 92562-4027;01/03/1958;67;Masculino;São Paulo;Casa Verde;São Paulo;Sé;;;Calçados Confortáveis e Ortopédicos
(11) 91187-5285;20/02/1960;65;Outro;São Paulo;Casa Verde;São Paulo;República;São Paulo;Casa Verde;Supermercados de Bairro e Mercadinhos
(11) 95833-7021;11/11/1999;25;Outro;São Paulo;Higienópolis;São Paulo;Higienópolis;;;Lojas de Moda Urbana e Alternativa
(71) 94578-5054;13/04/1980;45;Outro;São Paulo;República;São Paulo;República;São Paulo;Bela Vista;Postos de Combustível e Serviços Automotivos
(31) 99792-3455;17/07/1977;48;Masculino;São Paulo;Ipiranga;São Paulo;Limão;São Paulo;Bela Vista;Lojas de Roupas e Calçados
(11) 97806-8484;12/08/1998;26;Outro;São Paulo;Jabaquara;;;;;Lanchonetes e Fast-Food
(11) 91049-4570;21/03/1984;41;Outro;São Paulo;Santo Amaro;São Paulo;Bela Vista;;;Farmácias e Drogarias
(61) 91519-5703;15/05/1959;66;Feminino;São Paulo;Higienópolis;;;;;Restaurantes com comida caseira
(11) 97266-8348;16/06/2005;20;Feminino;São Paulo;Pinheiros;São Paulo;Tatuapé;São Paulo;Higienópolis;Lojas de Roupas e Sneakers
(11) 94648-1056;12/07/1976;49;Masculino;Rocha;Jabaquara;;;;;Postos de Combustível e Serviços Automotivos
(11) 94762-5055;10/11/1979;45;Feminino;São Paulo;Limão;São Paulo;Tatuapé;São Paulo;Santana;Bancos, Agências e Correspondentes
(11) 92653-1550;03/08/1943;82;Feminino;São Paulo;Consolação;São Paulo;Sé;São Paulo;Bela Vista;Clínicas Médicas e Laboratórios
(11) 95739-4836;02/09/1978;46;Outro;São Paulo;Lapa;São Paulo;Casa Verde;São Paulo;Itaquera;Lojas de Móveis e Decoração
(11) 91998-3869;21/04/1991;34;Outro;São Paulo;Pinheiros;São Paulo;Perdizes;;;Clínicas de Saúde e Bem-estar
(11) 97688-3444;22/01/1949;76;Feminino;São Paulo;Pinheiros;São Paulo;Penha;;;Clínicas Médicas e Laboratórios
(11) 91944-7761;20/06/1935;90;Feminino;São Paulo;Higienópolis;São Paulo;República;;;Clubes e Centros de Convivência
(11) 92514-9775;19/03/1978;47;Outro;São Paulo;Consolação;São Paulo;Santana;;;Bancos, Agências e Correspondentes
(11) 94555-8854;29/07/2003;22;Masculino;São Paulo;Itaquera;São Paulo;Jabaquara;;;Cafeterias e Bistrôs Modernos
(11) 98846-4974;17/11/1985;39;Outro;São Paulo;Tucuruvi;São Paulo;República;;;Lojas de Móveis e Decoração
(11) 96886-6053;21/09/1951;73;Feminino;São Paulo;Campo Limpo;São Paulo;Vila Prudente;;;Calçados Confortáveis e Ortopédicos
(41) 96126-7781;29/01/1997;28;Masculino;São Paulo;Casa Verde;;;São Paulo;Higienópolis;Espaços Culturais e de Experiência Interativa
(11) 95836-3497;30/06/1974;51;Masculino;São Paulo;Vila Prudente;São Paulo;Higienópolis;;;Clínicas de Saúde e Bem-estar
