numero_celular;data_captura;tipo_cupom;tipo_loja;local_captura;latitude;longitude;nome_loja;endereco_loja;valor_compra;valor_cupom
(11) 97620-5939;26/07/2025;Desconto;vestuário;Estação Consolação;-23.555.951.191.606.900;-4.666.170.550.812.490;Havaianas;Av. Paulista, 2439;230,59;62,4
(11) 94825-1734;29/07/2025;Produto;móveis;Parque Trianon;-2.356.419.251.198.360;-46.656.443.316.544.600;Lojas Americanas;Av. Paulista, 2300;382,44;7,52
(61) 98269-7275;26/07/2025;Cashback;outros;MASP;-23.561.418.049.167.400;-46.656.198.313.278.600;Lojas Americanas;Av. Paulista, 2300;804,24;40,21
(11) 92264-5760;06/07/2025;Produto;mercado express;Shopping Cidade São Paulo;-2.356.291.023.652.630;-4.665.266.925.309.490;Fast Shop;Shopping Cidade São Paulo, Av. Paulista, 1230;763,83;37,22
(11) 93131-7691;04/07/2025;Desconto;outros;Shopping Cidade São Paulo;-235.630.943.409.215;-4.665.289.090.103.710;Livraria Cultura;Conjunto Nacional - Av. Paulista, 2073;904,61;261,44
(71) 91327-9013;08/07/2025;Desconto;restaurante;Calçada aleatória;-2.356.439.845.581.460;-4.664.994.094.162.920;Pão de Açúcar;Rua Pamplona, 1704;921,25;432,28
(11) 93291-5276;18/07/2025;Produto;mercado express;Calçada aleatória;-23.563.778.460.026;-4.664.994.858.951.560;Havaianas;Av. Paulista, 2439;324,76;5,1
(11) 98779-7109;27/07/2025;Desconto;eletrodoméstico;Shopping Pátio Paulista;-23.570.583.694.484.700;-4.664.574.133.110.860;Outback;Shopping Pátio Paulista, Rua Treze de Maio, 1947;199,72;51
(11) 97907-8289;21/07/2025;Cashback;restaurante;MASP;-23.561.857.556.597.100;-4.665.609.695.326.250;Extra Mercado;Av. Brigadeiro Luís Antônio, 2769;711,45;35,57
(11) 99472-5982;20/07/2025;Produto;farmácia;Shopping Cidade São Paulo;-23.563.295.191.631.200;-46.651.985.863.332.100;Ponto Frio;Rua da Consolação, 2303;942,69;43,51
(11) 93420-4914;30/07/2025;Produto;eletrodoméstico;MASP;-2.356.131.091.451.310;-4.665.640.991.204.660;Smart Fit;Av. Paulista, 2006;205,43;7,08
(11) 95101-6521;19/07/2025;Produto;esportivo;Shopping Pátio Paulista;-23.570.451.774.809.100;-4.664.576.652.468.410;Drogaria São Paulo;Av. Paulista, 1230;641,56;20,85
(11) 94543-7009;13/07/2025;Produto;mercado express;Semáforo;-23.562.203.076.600.000;-46.653.816.497.113.300;Renner;Av. Paulista, 2230;169,24;9,59
(11) 96347-8233;22/07/2025;Produto;móveis;MASP;-2.356.110.470.014.320;-46.655.601.615.964.200;Riachuelo;Av. Paulista, 2277;774,07;15,77
(11) 93714-8249;28/07/2025;Produto;outros;Calçada aleatória;-23.564.251.765.256.900;-46.650.092.763.712.700;Pão de Açúcar;Rua Pamplona, 1704;951,72;29,33
(11) 94018-1645;20/07/2025;Produto;móveis;Estação Consolação;-2.355.567.162.097.050;-4.666.132.533.646.180;Kalunga;Rua Augusta, 2220;126,96;2,45
(11) 94693-9937;13/07/2025;Produto;mercado express;Calçada aleatória;-23.564.143.752.271.300;-46.650.055.697.693;Livraria Cultura;Conjunto Nacional - Av. Paulista, 2073;290,57;11,49
(11) 98368-1586;20/07/2025;Desconto;esportivo;Estação Consolação;-23.556.102.900.492.200;-4.666.197.686.198.720;Kalunga;Rua Augusta, 2220;531,14;109,74
(11) 93985-9036;27/07/2025;Cashback;eletrodoméstico;Calçada aleatória;-2.356.375.624.225.320;-4.664.959.312.799.140;Lojas Americanas;Av. Paulista, 2300;952,53;47,63
(11) 98477-6919;26/07/2025;Desconto;farmácia;Semáforo;-23.562.021.603.036.400;-4.665.369.894.013.060;Livraria Cultura;Conjunto Nacional - Av. Paulista, 2073;397,42;98,75
(11) 96324-3815;12/07/2025;Produto;móveis;Semáforo;-2.356.189.150.919.240;-4.665.419.353.592.630;Lojas Americanas;Av. Paulista, 2300;716,24;33,45
(11) 97412-5940;06/07/2025;Cashback;eletrodoméstico;Calçada aleatória;-23.563.891.581.318.300;-4.664.953.858.903.000;Ponto Frio;Rua da Consolação, 2303;682,16;34,11
(11) 98633-5844;03/07/2025;Cashback;eletrodoméstico;Calçada aleatória;-23.564.010.747.811.700;-46.649.530.606.903.200;Pão de Açúcar;Rua Pamplona, 1704;490,57;24,53
(11) 98964-1412;26/07/2025;Desconto;esportivo;Calçada aleatória;-23.564.785.923.531.200;-4.664.975.342.924.860;Havaianas;Av. Paulista, 2439;752,25;217,09
(11) 94457-2513;27/07/2025;Cashback;vestuário;Estação Consolação;-23.555.744.885.879.500;-46.661.707.702.205.100;Outback;Shopping Pátio Paulista, Rua Treze de Maio, 1947;221,29;11,06
(11) 93107-1850;10/07/2025;Desconto;restaurante;Semáforo;-23.561.972.471.767.000;-4.665.459.627.067.430;Riachuelo;Av. Paulista, 2277;658,31;260,03
(11) 98807-2806;26/07/2025;Desconto;mercado express;Parque Trianon;-23.564.077.901.566.300;-4.665.689.186.622.850;Renner;Av. Paulista, 2230;118,06;38,98
(61) 99527-7338;19/07/2025;Desconto;restaurante;Shopping Cidade São Paulo;-2.356.271.363.178.650;-4.665.245.848.106.540;Lojas Americanas;Av. Paulista, 2300;582,83;83,77
(11) 98521-5041;12/07/2025;Cashback;esportivo;Semáforo;-2.356.224.254.808.080;-4.665.415.052.711.300;Subway;Av. Paulista, 2026;813,48;40,67
(11) 95123-6340;06/07/2025;Desconto;esportivo;Parque Trianon;-23.563.737.379.364.600;-466.569.003.746.671;Pão de Açúcar;Rua Pamplona, 1704;187,59;87,69
(11) 96784-7297;26/07/2025;Desconto;eletrodoméstico;Parque Trianon;-2.356.417.092.806.110;-4.665.684.501.977.000;Outback;Shopping Pátio Paulista, Rua Treze de Maio, 1947;880,61;355,62
(11) 94048-1569;06/07/2025;Cashback;farmácia;Shopping Cidade São Paulo;-23.563.127.876.735.100;-4.665.201.240.650.280;Smart Fit;Av. Paulista, 2006;932,57;46,63
(11) 97366-7849;13/07/2025;Produto;mercado express;Shopping Pátio Paulista;-23.570.759.615.928.100;-4.664.574.929.864.390;Riachuelo;Av. Paulista, 2277;475,18;12,98
(11) 99964-2147;13/07/2025;Desconto;esportivo;Shopping Pátio Paulista;-2.357.066.663.244.590;-4.664.609.005.448.440;Outback;Shopping Pátio Paulista, Rua Treze de Maio, 1947;821,13;319,34
(41) 98956-5104;20/07/2025;Cashback;restaurante;MASP;-2.356.132.516.391.680;-46.655.802.683.418.300;Drogaria São Paulo;Av. Paulista, 1230;699,19;34,96
(11) 93990-6335;26/07/2025;Desconto;móveis;MASP;-23.561.412.465.963.000;-4.665.595.137.614.000;Smart Fit;Av. Paulista, 2006;628,55;117,43
(11) 94695-4858;12/07/2025;Desconto;esportivo;Semáforo;-23.562.424.611.222.600;-4.665.412.619.359.680;Livraria Cultura;Conjunto Nacional - Av. Paulista, 2073;269,03;89,23
(11) 91679-1614;27/07/2025;Cashback;restaurante;Semáforo;-23.562.102.814.354.900;-4.665.424.068.318.070;Renner;Av. Paulista, 2230;517,82;25,89
(11) 92585-8087;06/07/2025;Cashback;eletrodoméstico;Calçada aleatória;-23.564.048.385.713.400;-4.664.987.878.474.290;Outback;Shopping Pátio Paulista, Rua Treze de Maio, 1947;244,98;12,25
(11) 96054-8576;22/07/2025;Desconto;restaurante;Estação Consolação;-23.555.205.144.229.600;-4.666.156.562.665.610;Kalunga;Rua Augusta, 2220;883,72;243,08
(61) 94169-5620;13/07/2025;Produto;outros;MASP;-23.561.336.734.882.700;-4.665.590.333.377.470;Kalunga;Rua Augusta, 2220;933,02;30,42
(11) 96997-3738;05/07/2025;Produto;outros;Calçada aleatória;-2.356.457.563.136.450;-4.665.000.795.416.260;Daiso Japan;Shopping Pátio Paulista, Rua Treze de Maio, 1947;752,38;39,2
(11) 99765-3203;23/07/2025;Desconto;vestuário;Parque Trianon;-2.356.399.393.093.700;-4.665.626.002.736.620;Kalunga;Rua Augusta, 2220;255,13;90,34
(11) 94532-1115;27/07/2025;Cashback;farmácia;Estação Consolação;-23.555.828.708.289.400;-466.615.275.357.973;Kalunga;Rua Augusta, 2220;775,64;38,78
(11) 93706-3777;18/07/2025;Cashback;mercado express;Estação Consolação;-23.555.781.413.530.900;-4.666.196.860.341.120;Outback;Shopping Pátio Paulista, Rua Treze de Maio, 1947;267;13,35
(11) 91341-2295;12/07/2025;Produto;restaurante;Calçada aleatória;-23.563.657.153.155.600;-4.664.977.442.009.010;Drogaria São Paulo;Av. Paulista, 1230;434,17;9,92
(11) 99968-8898;27/07/2025;Desconto;eletrodoméstico;Parque Trianon;-2.356.377.469.041.580;-4.665.727.181.623.640;Subway;Av. Paulista, 2026;108,34;52,96
(11) 93688-1383;26/07/2025;Produto;outros;MASP;-2.356.099.316.170.670;-4.665.630.155.531.880;Drogaria São Paulo;Av. Paulista, 1230;448,04;23,44
(11) 95643-9222;06/07/2025;Produto;eletrodoméstico;Estação Consolação;-2.355.559.494.287.180;-46.660.960.863.312.200;Livraria Cultura;Conjunto Nacional - Av. Paulista, 2073;523,79;6,02
(11) 99891-1322;19/07/2025;Produto;vestuário;Parque Trianon;-2.356.430.916.089.750;-4.665.716.888.931.880;Kalunga;Rua Augusta, 2220;483,59;16,2
(11) 99514-7112;06/07/2025;Cashback;vestuário;Parque Trianon;-23.563.982.104.590.400;-4.665.715.004.269.620;Renner;Av. Paulista, 2230;798,42;39,92
(41) 98253-8526;28/07/2025;Desconto;vestuário;Shopping Cidade São Paulo;-2.356.362.219.902.930;-4.665.228.243.110.750;Extra Mercado;Av. Brigadeiro Luís Antônio, 2769;704,35;276,63
(11) 94848-1435;19/07/2025;Produto;farmácia;Semáforo;-2.356.231.869.111.410;-4.665.385.792.227.080;Fast Shop;Shopping Cidade São Paulo, Av. Paulista, 1230;227,39;10,21
(11) 92623-1244;27/07/2025;Cashback;vestuário;Calçada aleatória;-2.356.427.582.727.020;-46.649.535.019.678.400;Kalunga;Rua Augusta, 2220;785,96;39,3
(11) 93924-3753;07/07/2025;Desconto;restaurante;Calçada aleatória;-23.564.234.975.987.700;-4.665.009.661.845.480;Livraria Cultura;Conjunto Nacional - Av. Paulista, 2073;104,22;38,71
(11) 91039-1117;27/07/2025;Produto;farmácia;Shopping Cidade São Paulo;-2.356.291.294.483.470;-4.665.267.225.929.490;Havaianas;Av. Paulista, 2439;449,06;23,21
(11) 99684-8793;26/07/2025;Cashback;mercado express;Calçada aleatória;-23.563.931.762.019.600;-4.664.960.785.717.370;Ponto Frio;Rua da Consolação, 2303;270,12;13,51
(11) 96086-7575;08/07/2025;Cashback;vestuário;Shopping Pátio Paulista;-23.571.031.244.970.300;-4.664.559.560.984.240;Daiso Japan;Shopping Pátio Paulista, Rua Treze de Maio, 1947;644,2;32,21
(11) 95644-5208;06/07/2025;Desconto;outros;Semáforo;-23.561.922.035.161.700;-4.665.376.545.313.840;Drogaria São Paulo;Av. Paulista, 1230;169,02;68,28
(11) 94493-6704;12/07/2025;Cashback;outros;Parque Trianon;-23.564.383.085.213.200;-4.665.739.513.698.390;Ponto Frio;Rua da Consolação, 2303;482,8;24,14
(11) 96131-7167;05/07/2025;Desconto;vestuário;Calçada aleatória;-23.563.843.417.530.300;-4.664.991.090.459.800;Riachuelo;Av. Paulista, 2277;367,48;176,39
(11) 94184-7562;30/07/2025;Desconto;mercado express;Calçada aleatória;-23.563.924.852.144.800;-4.664.989.606.553.710;Smart Fit;Av. Paulista, 2006;768,66;332,95
(11) 92302-7900;12/07/2025;Produto;mercado express;Semáforo;-23.562.204.007.416.400;-46.653.930.323.890.800;Outback;Shopping Pátio Paulista, Rua Treze de Maio, 1947;636,63;27,45
(11) 95777-5496;13/07/2025;Desconto;mercado express;Calçada aleatória;-2.356.391.207.825.800;-4.665.021.430.542.540;Livraria Cultura;Conjunto Nacional - Av. Paulista, 2073;364,01;99,38
(11) 92760-2198;19/07/2025;Cashback;farmácia;Calçada aleatória;-23.563.440.267.646.600;-4.664.985.785.012.370;Outback;Shopping Pátio Paulista, Rua Treze de Maio, 1947;838,93;41,95
(11) 94560-6481;19/07/2025;Desconto;eletrodoméstico;Parque Trianon;-23.564.369.391.049.100;-4.665.680.203.391.740;Outback;Shopping Pátio Paulista, Rua Treze de Maio, 1947;277,89;128,38
(11) 98667-9330;26/07/2025;Produto;farmácia;Parque Trianon;-2.356.430.440.450.100;-4.665.676.287.461.880;Drogaria São Paulo;Av. Paulista, 1230;510,91;27,24
(11) 92051-3400;26/07/2025;Cashback;mercado express;Estação Consolação;-235.554.234.213.263;-46.661.864.204.695.500;Fast Shop;Shopping Cidade São Paulo, Av. Paulista, 1230;396,93;19,85
(71) 99649-1095;26/07/2025;Cashback;móveis;Shopping Cidade São Paulo;-23.562.867.987.161.200;-46.652.179.165.721.900;Havaianas;Av. Paulista, 2439;664,68;33,23
(11) 93209-4583;12/07/2025;Produto;vestuário;Shopping Pátio Paulista;-23.570.302.381.952;-466.450.819.621.052;Lojas Americanas;Av. Paulista, 2300;174,99;3,06
(11) 98938-5559;12/07/2025;Cashback;eletrodoméstico;Calçada aleatória;-235.640.736.164.348;-46.650.226.120.849.300;Kalunga;Rua Augusta, 2220;299,65;14,98
(71) 99078-6023;26/07/2025;Desconto;vestuário;Semáforo;-2.356.226.685.432.880;-4.665.424.474.308.540;Kalunga;Rua Augusta, 2220;676,98;149,45
(11) 95735-1515;02/07/2025;Desconto;eletrodoméstico;Shopping Cidade São Paulo;-23.563.180.130.512.800;-4.665.220.065.440.750;Ponto Frio;Rua da Consolação, 2303;113,53;16,47
(11) 92536-9427;27/07/2025;Produto;móveis;Shopping Cidade São Paulo;-23.563.073.992.760.200;-4.665.205.484.502.520;Havaianas;Av. Paulista, 2439;622,79;22,07
(11) 96120-9966;20/07/2025;Produto;mercado express;Shopping Pátio Paulista;-23.570.545.099.432.400;-4.664.521.493.977.680;Renner;Av. Paulista, 2230;401,07;17,31
(11) 99352-7866;06/07/2025;Produto;vestuário;Semáforo;-23.562.079.397.049.900;-4.665.318.394.925.000;Smart Fit;Av. Paulista, 2006;700,33;12,64
(11) 93053-9317;05/07/2025;Cashback;esportivo;Semáforo;-23.561.812.299.795.600;-46.654.257.147.266.900;Kalunga;Rua Augusta, 2220;798,86;39,94
(11) 99919-3376;07/07/2025;Cashback;esportivo;Shopping Cidade São Paulo;-23.563.478.267.749.400;-4.665.215.825.827.540;Subway;Av. Paulista, 2026;179,57;8,98
(11) 95132-4485;13/07/2025;Cashback;mercado express;Calçada aleatória;-235.640.670.388.356;-4.664.978.579.985.170;Riachuelo;Av. Paulista, 2277;416,55;20,83
(11) 96043-2755;26/07/2025;Produto;mercado express;Parque Trianon;-2.356.387.002.871.260;-46.657.020.848.673.700;Kalunga;Rua Augusta, 2220;563,8;14,14
(11) 98974-8808;06/07/2025;Desconto;móveis;Calçada aleatória;-23.564.254.038.115.400;-466.504.544.541.674;Extra Mercado;Av. Brigadeiro Luís Antônio, 2769;797,3;387,09
(11) 99643-7329;26/07/2025;Produto;vestuário;Parque Trianon;-2.356.414.595.448.560;-466.567.420.803.617;Pão de Açúcar;Rua Pamplona, 1704;924,21;45,06
(11) 94077-5325;19/07/2025;Cashback;restaurante;Parque Trianon;-23.563.947.771.876.700;-46.657.372.721.633.600;Ponto Frio;Rua da Consolação, 2303;355,05;17,75
(11) 91348-7582;25/07/2025;Desconto;esportivo;Shopping Pátio Paulista;-23.570.497.045.722.200;-4.664.553.540.478.600;Lojas Americanas;Av. Paulista, 2300;370,34;118,4
(11) 93307-3522;19/07/2025;Produto;esportivo;Parque Trianon;-23.564.277.157.230.800;-4.665.695.288.246.820;Drogaria São Paulo;Av. Paulista, 1230;282,13;8,09
(11) 94657-9942;06/07/2025;Cashback;eletrodoméstico;Parque Trianon;-23.563.994.537.384.400;-46.657.341.891.089.300;Extra Mercado;Av. Brigadeiro Luís Antônio, 2769;747,01;37,35
(11) 91726-4739;19/07/2025;Produto;móveis;Semáforo;-23.561.892.663.791.800;-4.665.383.176.464.200;Daiso Japan;Shopping Pátio Paulista, Rua Treze de Maio, 1947;604,24;9,31
(11) 99992-4337;27/07/2025;Produto;eletrodoméstico;Parque Trianon;-2.356.368.708.462.700;-4.665.668.285.938.430;Kalunga;Rua Augusta, 2220;612,45;34,01
(11) 91985-3367;17/07/2025;Desconto;eletrodoméstico;Parque Trianon;-23.564.425.300.810.300;-4.665.728.034.751.190;Subway;Av. Paulista, 2026;469,54;154,47
(41) 97648-7419;19/07/2025;Desconto;restaurante;Shopping Cidade São Paulo;-23.563.002.489.419.800;-4.665.214.886.421.470;Outback;Shopping Pátio Paulista, Rua Treze de Maio, 1947;183,23;24,1
(11) 96668-6716;19/07/2025;Cashback;mercado express;Semáforo;-2.356.184.548.569.410;-46.652.844.180.552.800;Livraria Cultura;Conjunto Nacional - Av. Paulista, 2073;530,36;26,52
(11) 94207-7119;05/07/2025;Produto;outros;Parque Trianon;-23.563.840.732.846.700;-4.665.665.833.030.790;Pão de Açúcar;Rua Pamplona, 1704;515,23;29,11
(11) 94156-2509;12/07/2025;Desconto;farmácia;Shopping Pátio Paulista;-23.570.262.799.470.900;-4.664.545.558.262.460;Renner;Av. Paulista, 2230;614,18;125,31
(11) 98913-4528;12/07/2025;Cashback;móveis;MASP;-23.561.508.580.773.300;-46.655.653.309.233.800;Riachuelo;Av. Paulista, 2277;168,37;8,42
(11) 91392-6875;23/07/2025;Produto;farmácia;Estação Consolação;-2.355.600.284.756.430;-4.666.168.904.558.200;Outback;Shopping Pátio Paulista, Rua Treze de Maio, 1947;354,59;20,93
(11) 98189-5706;01/07/2025;Desconto;mercado express;Semáforo;-2.356.214.560.906.430;-46.653.975.437.758.100;Havaianas;Av. Paulista, 2439;827,41;158,79
(11) 93890-6595;13/07/2025;Produto;mercado express;Semáforo;-2.356.130.560.243;-46.654.560.179.557.700;Riachuelo;Av. Paulista, 2277;359,83;10,37
(11) 98470-2523;05/07/2025;Cashback;farmácia;Semáforo;-2.356.179.412.194.280;-4.665.448.381.476.130;Havaianas;Av. Paulista, 2439;802,27;40,11
(11) 94337-1086;26/07/2025;Produto;restaurante;Calçada aleatória;-23.564.141.579.559.700;-4.664.967.331.482.090;Drogaria São Paulo;Av. Paulista, 1230;476,45;26,89
(11) 94213-8117;05/07/2025;Produto;mercado express;Shopping Pátio Paulista;-23.570.529.715.994.200;-4.664.597.432.343.330;Smart Fit;Av. Paulista, 2006;142,49;8,27
(11) 95619-1630;26/07/2025;Desconto;esportivo;Calçada aleatória;-23.564.214.591.112.700;-4.664.979.612.067.530;Lojas Americanas;Av. Paulista, 2300;826,5;171,23
(11) 91324-6923;19/07/2025;Cashback;móveis;Semáforo;-23.562.219.109.989.500;-4.665.393.506.242.310;Drogaria São Paulo;Av. Paulista, 1230;645,31;32,27
(11) 99483-6047;12/07/2025;Desconto;esportivo;Semáforo;-2.356.198.632.844.800;-46.654.195.480.104.200;Extra Mercado;Av. Brigadeiro Luís Antônio, 2769;740,65;227,06
(61) 94874-9985;19/07/2025;Cashback;outros;Parque Trianon;-23.563.368.816.773.200;-466.568.088.242.933;Lojas Americanas;Av. Paulista, 2300;418,01;20,9
(11) 95311-9938;12/07/2025;Cashback;vestuário;Shopping Pátio Paulista;-23.571.156.542.776;-4.664.559.506.370.550;Havaianas;Av. Paulista, 2439;437,33;21,87
(11) 97050-6598;12/07/2025;Desconto;eletrodoméstico;Calçada aleatória;-2.356.419.853.593.940;-4.664.974.426.999.950;Pão de Açúcar;Rua Pamplona, 1704;862,53;402,97
(11) 99560-8902;12/07/2025;Cashback;farmácia;Calçada aleatória;-2.356.423.775.622.150;-46.650.034.420.932.400;Drogaria São Paulo;Av. Paulista, 1230;141,2;7,06
(11) 97876-1095;13/07/2025;Desconto;outros;Shopping Pátio Paulista;-23.570.397.503.816.300;-4.664.539.127.344.170;Livraria Cultura;Conjunto Nacional - Av. Paulista, 2073;514,88;134,14
(31) 92904-3940;08/07/2025;Produto;eletrodoméstico;Shopping Cidade São Paulo;-2.356.351.708.892.210;-46.652.403.350.370.700;Havaianas;Av. Paulista, 2439;301,07;17,77
(11) 92613-1157;06/07/2025;Produto;restaurante;Shopping Pátio Paulista;-23.570.691.483.593.300;-4.664.584.699.876.970;Smart Fit;Av. Paulista, 2006;490,57;20,89
(11) 95023-1021;06/07/2025;Desconto;farmácia;Semáforo;-23.561.470.363.727.900;-46.653.878.505.486.700;Subway;Av. Paulista, 2026;663,63;212,01
(11) 92148-2044;06/07/2025;Desconto;restaurante;Calçada aleatória;-235.643.782.651.863;-4.664.972.464.141.580;Daiso Japan;Shopping Pátio Paulista, Rua Treze de Maio, 1947;772,32;113,74
(11) 99776-3428;05/07/2025;Cashback;esportivo;Parque Trianon;-235.633.753.531.409;-46.656.689.260.421.800;Extra Mercado;Av. Brigadeiro Luís Antônio, 2769;723,52;36,18
(11) 97049-5380;04/07/2025;Desconto;esportivo;Semáforo;-2.356.245.581.098.970;-4.665.414.527.022.180;Kalunga;Rua Augusta, 2220;294,02;29,46
(11) 91146-1271;18/07/2025;Desconto;outros;Calçada aleatória;-23.563.619.926.655.200;-46.650.212.300.839.600;Smart Fit;Av. Paulista, 2006;405,31;152,87
(11) 95619-9972;23/07/2025;Cashback;farmácia;MASP;-23.561.280.854.171.500;-46.655.648.609.783.900;Lojas Americanas;Av. Paulista, 2300;583,98;29,2
(11) 94519-1446;26/07/2025;Cashback;móveis;Semáforo;-23.562.278.079.141.400;-46.654.017.857.606.800;Subway;Av. Paulista, 2026;949,86;47,49
(11) 98250-1177;19/07/2025;Desconto;outros;Calçada aleatória;-23.564.972.380.202.000;-466.503.073.162.924;Fast Shop;Shopping Cidade São Paulo, Av. Paulista, 1230;837,41;364,46
(11) 96207-7832;13/07/2025;Produto;esportivo;Semáforo;-23.562.075.770.445.400;-46.654.374.334.954.500;Kalunga;Rua Augusta, 2220;396,18;6,1
(11) 93526-3538;27/07/2025;Cashback;móveis;Shopping Pátio Paulista;-2.357.005.927.660.880;-4.664.608.004.241.330;Subway;Av. Paulista, 2026;634,14;31,71
(11) 94972-8845;20/07/2025;Produto;eletrodoméstico;Semáforo;-2.356.213.201.334.600;-4.665.396.077.782.680;Riachuelo;Av. Paulista, 2277;768,9;19,59
(11) 95324-3604;01/07/2025;Produto;móveis;MASP;-2.356.098.161.801.320;-4.665.631.175.864.530;Daiso Japan;Shopping Pátio Paulista, Rua Treze de Maio, 1947;897,38;52,88
(11) 99134-5659;12/07/2025;Cashback;outros;Parque Trianon;-23.563.663.050.874.300;-4.665.699.593.008.160;Riachuelo;Av. Paulista, 2277;482,03;24,1
(11) 98313-6689;26/07/2025;Produto;esportivo;Semáforo;-23.562.294.452.595.300;-4.665.386.136.895.770;Ponto Frio;Rua da Consolação, 2303;284,53;7,38
(21) 94122-6900;20/07/2025;Cashback;esportivo;Estação Consolação;-23.555.711.282.091.300;-46.661.798.065.063.100;Riachuelo;Av. Paulista, 2277;901,14;45,06
(11) 96744-5752;09/07/2025;Cashback;vestuário;Estação Consolação;-23.555.750.059.374.500;-4.666.173.359.407.900;Kalunga;Rua Augusta, 2220;552,9;27,64
(71) 94106-2454;23/07/2025;Produto;outros;Shopping Pátio Paulista;-23.570.514.944.796.400;-4.664.545.236.079.760;Riachuelo;Av. Paulista, 2277;234,18;8,93
(11) 98082-3132;13/07/2025;Desconto;restaurante;Shopping Cidade São Paulo;-23.562.681.194.955.100;-46.652.674.344.649.600;Outback;Shopping Pátio Paulista, Rua Treze de Maio, 1947;983,07;122,61
(11) 96255-8451;05/07/2025;Produto;móveis;MASP;-23.560.774.089.987.600;-46.656.466.626.339.800;Havaianas;Av. Paulista, 2439;313,35;10,26
(11) 95755-9142;19/07/2025;Cashback;vestuário;Estação Consolação;-2.355.581.653.552.850;-4.666.144.150.483.800;Drogaria São Paulo;Av. Paulista, 1230;150,77;7,54
(11) 97724-1939;24/07/2025;Produto;móveis;Semáforo;-2.356.191.570.243.960;-4.665.418.680.985.590;Renner;Av. Paulista, 2230;795,43;20,74
(11) 96845-2725;27/07/2025;Produto;farmácia;Calçada aleatória;-2.356.406.243.667.510;-46.650.147.900.280.300;Daiso Japan;Shopping Pátio Paulista, Rua Treze de Maio, 1947;696;10,95
(11) 92521-6213;16/07/2025;Produto;esportivo;MASP;-2.356.159.080.942.700;-4.665.562.611.937.080;Ponto Frio;Rua da Consolação, 2303;807,84;10,78
(11) 96987-9929;06/07/2025;Produto;farmácia;Calçada aleatória;-2.356.389.289.535.420;-46.650.207.872.878.500;Livraria Cultura;Conjunto Nacional - Av. Paulista, 2073;937,99;21,68
(11) 95062-9406;13/07/2025;Desconto;eletrodoméstico;Semáforo;-2.356.173.012.003.730;-4.665.390.781.014.370;Drogaria São Paulo;Av. Paulista, 1230;929,85;384,08
(11) 96566-4840;06/07/2025;Desconto;restaurante;Semáforo;-2.356.175.614.136.430;-4.665.381.111.134.740;Lojas Americanas;Av. Paulista, 2300;826,5;371,48
